2023-01-12 07:03:00,2023-01-12 21:14:00,0 days 14:11:00
2023-01-13 07:03:00,2023-01-13 17:35:00,0 days 10:32:00
2023-01-16 07:03:00,2023-01-16 19:27:00,0 days 12:24:00
2023-01-17 07:02:00,2023-01-17 19:12:00,0 days 12:10:00
2023-01-18 07:03:00,2023-01-18 19:13:00,0 days 12:10:00
2023-01-20 07:03:00,2023-01-20 17:36:00,0 days 10:33:00
2023-01-24 07:03:00,2023-01-24 20:24:00,0 days 13:21:00
2023-01-25 07:03:00,2023-01-25 18:49:00,0 days 11:46:00
2023-01-26 07:05:00,2023-01-26 19:37:00,0 days 12:32:00
2023-01-27 07:04:00,2023-01-27 13:41:00,0 days 06:37:00
2023-01-30 07:07:00,2023-01-30 18:27:00,0 days 11:20:00
2023-01-31 07:01:00,2023-01-31 17:14:00,0 days 10:13:00
2023-02-01 07:07:00,2023-02-01 16:26:00,0 days 09:19:00
2023-02-02 07:12:00,2023-02-02 16:11:00,0 days 08:59:00
2023-02-03 07:14:00,2023-02-03 15:23:00,0 days 08:09:00
2023-02-06 06:56:00,2023-02-06 19:14:00,0 days 12:18:00
2023-02-07 07:01:00,2023-02-07 18:54:00,0 days 11:53:00
2023-02-08 06:54:00,2023-02-08 19:27:00,0 days 12:33:00
2023-02-09 06:31:00,2023-02-09 18:31:00,0 days 12:00:00
2023-02-10 07:01:00,2023-02-10 19:04:00,0 days 12:03:00
2023-02-13 07:04:00,2023-02-13 17:14:00,0 days 10:10:00
2023-02-14 07:03:00,2023-02-14 18:00:00,0 days 10:57:00
2023-02-15 07:04:00,2023-02-15 18:37:00,0 days 11:33:00
2023-02-17 07:06:00,2023-02-17 15:05:00,0 days 07:59:00
2023-02-18 07:50:00,2023-02-18 14:27:00,0 days 06:37:00
2023-02-20 07:01:00,2023-02-20 21:31:00,0 days 14:30:00
2023-02-21 07:04:00,2023-02-21 19:42:00,0 days 12:38:00
2023-02-23 07:25:00,2023-02-23 14:35:00,0 days 07:10:00
2023-02-24 07:03:00,2023-02-24 20:34:00,0 days 13:31:00
2023-02-25 07:22:00,2023-02-25 13:56:00,0 days 06:34:00
2023-02-28 07:06:00,2023-02-28 19:39:00,0 days 12:33:00
2023-03-01 07:02:00,2023-03-01 19:04:00,0 days 12:02:00
2023-03-02 07:03:00,2023-03-02 18:01:00,0 days 10:58:00
2023-03-03 07:05:00,2023-03-03 16:31:00,0 days 09:26:00
